'headings','words','POStags' 
"'Administration of these agents with levothyroxine results in an initial transient increase in FT4. Continued administration results in a decrease in serum T4 and normal FT4 and TSH concentrations and, therefore, patients are clinically euthyroid. Salicylates inhibit binding of T4 and T3 to TBG and transthyretin. An initial increase in serum FT4, is followed by return of FT4 to normal levels with sustained therapeutic serum salicylate concentrations, although total-T4 levels may decrease by as much as 30%.'","'Administration|of|these|agents|with|levothyroxine|results|in|an|initial|transient|increase|in|FT4.|Continued|administration|results|in|a|decrease|in|serum|T4|and|normal|FT4|and|TSH|concentrations|and|,|therefore|,|patients|are|clinically|euthyroid.|Salicylates|inhibit|binding|of|T4|and|T3|to|TBG|and|transthyretin.|An|initial|increase|in|serum|FT4|,|is|followed|by|return|of|FT4|to|normal|levels|with|sustained|therapeutic|serum|salicylate|concentrations|,|although|total-T4|levels|may|decrease|by|as|much|as|30|%|.'","'NN|IN|DT|NNS|IN|NN|VBZ|IN|DT|JJ|JJ|NN|IN|NN|JJ|NN|VBZ|IN|DT|NN|IN|NN|NN|CC|JJ|NN|CC|NN|NNS|CC|,|RB|,|NNS|VBP|RB|JJ|NNS|VBP|NN|IN|NN|CC|NN|TO|NN|CC|VB|DT|JJ|NN|IN|NN|NN|,|VBZ|VBN|IN|NN|IN|NN|TO|JJ|NNS|IN|JJ|JJ|NN|NN|NNS|,|IN|NN|NNS|MD|VB|IN|RB|JJ|IN|CD|NN|.'"
"'Administration of these agents with levothyroxine results in an initial transient increase in FT4. Continued administration results in a decrease in serum T4 and normal FT4 and TSH concentrations and, therefore, patients are clinically euthyroid. Salicylates inhibit binding of T4 and T3 to TBG and transthyretin. An initial increase in serum FT4, is followed by return of FT4 to normal levels with sustained therapeutic serum salicylate concentrations, although total-T4 levels may decrease by as much as 30%.'","'Administration|of|these|agents|with|levothyroxine|results|in|an|initial|transient|increase|in|FT4.|Continued|administration|results|in|a|decrease|in|serum|T4|and|normal|FT4|and|TSH|concentrations|and|,|therefore|,|patients|are|clinically|euthyroid.|Salicylates|inhibit|binding|of|T4|and|T3|to|TBG|and|transthyretin.|An|initial|increase|in|serum|FT4|,|is|followed|by|return|of|FT4|to|normal|levels|with|sustained|therapeutic|serum|salicylate|concentrations|,|although|total-T4|levels|may|decrease|by|as|much|as|30|%|.'","'NN|IN|DT|NNS|IN|NN|VBZ|IN|DT|JJ|JJ|NN|IN|NN|JJ|NN|VBZ|IN|DT|NN|IN|NN|NN|CC|JJ|NN|CC|NN|NNS|CC|,|RB|,|NNS|VBP|RB|JJ|NNS|VBP|NN|IN|NN|CC|NN|TO|NN|CC|VB|DT|JJ|NN|IN|NN|NN|,|VBZ|VBN|IN|NN|IN|NN|TO|JJ|NNS|IN|JJ|JJ|NN|NN|NNS|,|IN|NN|NNS|MD|VB|IN|RB|JJ|IN|CD|NN|.'"
"'Administration of these agents with levothyroxine results in an initial transient increase in FT . Continued administration results in a decrease in serum T and normal FT and TSH concentrations and, therefore, patients are clinically euthyroid. Salicylates inhibit binding of T and T to TBG and transthyretin. An initial increase in serum FT , is followed by return of FT to normal levels with sustained therapeutic serum salicylate concentrations, although total-T levels may decrease by as much as 30%.\4\4\4\4\3\4\4\4'","'Administration|of|these|agents|with|levothyroxine|results|in|an|initial|transient|increase|in|FT|.|Continued|administration|results|in|a|decrease|in|serum|T|and|normal|FT|and|TSH|concentrations|and|,|therefore|,|patients|are|clinically|euthyroid.|Salicylates|inhibit|binding|of|T|and|T|to|TBG|and|transthyretin.|An|initial|increase|in|serum|FT|,|is|followed|by|return|of|FT|to|normal|levels|with|sustained|therapeutic|serum|salicylate|concentrations|,|although|total-T|levels|may|decrease|by|as|much|as|30|%|.\4\4\4\4\3\4\4\4'","'NN|IN|DT|NNS|IN|NN|VBZ|IN|DT|JJ|JJ|NN|IN|NN|.|VBN|NN|VBZ|IN|DT|NN|IN|NN|NN|CC|JJ|NN|CC|NN|NNS|CC|,|RB|,|NNS|VBP|RB|JJ|NNS|VBP|NN|IN|NN|CC|NN|TO|NN|CC|VB|DT|JJ|NN|IN|NN|NN|,|VBZ|VBN|IN|NN|IN|NN|TO|JJ|NNS|IN|JJ|JJ|NN|NN|NNS|,|IN|NN|NNS|MD|VB|IN|RB|JJ|IN|CD|NN|.'"
"'Administration of these agents with levothyroxine results in an initial transient increase in FT4.Continued administration results in a decrease in serum T4 and normal FT4 and TSH concentrations and, therefore, patients are clinically euthyroid.Salicylates inhibit binding of T4 and T3 to TBG and transthyretin.An initial increase in serum FT4 is followed by return of FT4 to normal levels with sustained therapeutic serum salicylate concentrations, although total-T4 levels may decrease by as much as 30%.'","'Administration|of|these|agents|with|levothyroxine|results|in|an|initial|transient|increase|in|FT4.Continued|administration|results|in|a|decrease|in|serum|T4|and|normal|FT4|and|TSH|concentrations|and|,|therefore|,|patients|are|clinically|euthyroid.Salicylates|inhibit|binding|of|T4|and|T3|to|TBG|and|transthyretin.An|initial|increase|in|serum|FT4|is|followed|by|return|of|FT4|to|normal|levels|with|sustained|therapeutic|serum|salicylate|concentrations|,|although|total-T4|levels|may|decrease|by|as|much|as|30|%|.'","'NN|IN|DT|NNS|IN|NN|VBZ|IN|DT|JJ|JJ|NN|IN|VBN|NN|VBZ|IN|DT|NN|IN|NN|NN|CC|JJ|NN|CC|NN|NNS|CC|,|RB|,|NNS|VBP|RB|NNS|VBP|NN|IN|NN|CC|NN|TO|NN|CC|NN|JJ|NN|IN|NN|NN|VBZ|VBN|IN|NN|IN|NN|TO|JJ|NNS|IN|JJ|JJ|NN|NN|NNS|,|IN|NN|NNS|MD|VB|IN|RB|JJ|IN|CD|NN|.'"
"'Administration of these agents with levothyroxine results in an initial transient increase in FT4. Continued administration results in a decrease in serum T4 and normal FT4 and TSH concentrations and, therefore, patients are clinically euthyroid. Salicylates inhibit binding of T4 and T3 to TBG and transthyretin. An initial increase in serum FT4, is followed by return of FT4 to normal levels with sustained therapeutic serum salicylate concentrations, although total-T4 levels may decrease by as much as 30%.'","'Administration|of|these|agents|with|levothyroxine|results|in|an|initial|transient|increase|in|FT4.|Continued|administration|results|in|a|decrease|in|serum|T4|and|normal|FT4|and|TSH|concentrations|and|,|therefore|,|patients|are|clinically|euthyroid.|Salicylates|inhibit|binding|of|T4|and|T3|to|TBG|and|transthyretin.|An|initial|increase|in|serum|FT4|,|is|followed|by|return|of|FT4|to|normal|levels|with|sustained|therapeutic|serum|salicylate|concentrations|,|although|total-T4|levels|may|decrease|by|as|much|as|30|%|.'","'NN|IN|DT|NNS|IN|NN|VBZ|IN|DT|JJ|JJ|NN|IN|NN|JJ|NN|VBZ|IN|DT|NN|IN|NN|NN|CC|JJ|NN|CC|NN|NNS|CC|,|RB|,|NNS|VBP|RB|JJ|NNS|VBP|NN|IN|NN|CC|NN|TO|NN|CC|VB|DT|JJ|NN|IN|NN|NN|,|VBZ|VBN|IN|NN|IN|NN|TO|JJ|NNS|IN|JJ|JJ|NN|NN|NNS|,|IN|NN|NNS|MD|VB|IN|RB|JJ|IN|CD|NN|.'"
"'Administration of these enzyme inhibitors decrease the peripheral conversion of T4 to T3, leading to decreased T3 levels. However, serum T4 levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T3 and T4 levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T3 concentrations by 30% with minimal change in serum T4 levels. However, long-term glucocorticoid therapy may result in slightly decreased T3 and T4 levels due to decreased TBG production (see above).'","'Administration|of|these|enzyme|inhibitors|decrease|the|peripheral|conversion|of|T4|to|T3|,|leading|to|decreased|T3|levels.|However|,|serum|T4|levels|are|usually|normal|but|may|occasionally|be|slightly|increased.|In|patients|treated|with|large|doses|of|propranolol|(|>|160|mg/day|)|,|T3|and|T4|levels|change|slightly|,|TSH|levels|remain|normal|,|and|patients|are|clinically|euthyroid.|It|should|be|noted|that|actions|of|particular|beta-adrenergic|antagonists|may|be|impaired|when|the|hypothyroid|patient|is|converted|to|the|euthyroid|state.|Short-term|administration|of|large|doses|of|glucocorticoids|may|decrease|serum|T3|concentrations|by|30|%|with|minimal|change|in|serum|T4|levels.|However|,|long-term|glucocorticoid|therapy|may|result|in|slightly|decreased|T3|and|T4|levels|due|to|decreased|TBG|production|(|see|above|)|.'","'NN|IN|DT|NN|NNS|VBP|DT|JJ|NN|IN|NN|TO|NN|,|VBG|TO|VBN|NN|NN|RB|,|NN|NN|NNS|VBP|RB|JJ|CC|MD|RB|VB|RB|RB|IN|NNS|VBN|IN|JJ|NNS|IN|NN|(|SYM|CD|NN|)|,|NN|CC|NN|NNS|VBP|RB|,|NN|NNS|VBP|JJ|,|CC|NNS|VBP|RB|VBN|PRP|MD|VB|VBN|IN|NNS|IN|JJ|JJ|NNS|MD|VB|VBN|WRB|DT|JJ|NN|VBZ|VBN|TO|DT|JJ|NN|JJ|NN|IN|JJ|NNS|IN|NNS|MD|VB|NN|NN|NNS|IN|CD|NN|IN|JJ|NN|IN|NN|NN|NN|RB|,|JJ|NN|NN|MD|VB|IN|RB|VBN|NN|CC|NN|NNS|JJ|TO|VBN|NN|NN|(|VB|IN|)|.'"
"'Administration of these enzyme inhibitors decrease the peripheral conversion of T4 to T3, leading to decreased T3 levels. However, serum T4 levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T3 and T4 levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T3 concentrations by 30% with minimal change in serum T4 levels. However, long-term glucocorticoid therapy may result in slightly decreased T3 and T4 levels due to decreased TBG production (see above).'","'Administration|of|these|enzyme|inhibitors|decrease|the|peripheral|conversion|of|T4|to|T3|,|leading|to|decreased|T3|levels.|However|,|serum|T4|levels|are|usually|normal|but|may|occasionally|be|slightly|increased.|In|patients|treated|with|large|doses|of|propranolol|(|>|160|mg/day|)|,|T3|and|T4|levels|change|slightly|,|TSH|levels|remain|normal|,|and|patients|are|clinically|euthyroid.|It|should|be|noted|that|actions|of|particular|beta-adrenergic|antagonists|may|be|impaired|when|the|hypothyroid|patient|is|converted|to|the|euthyroid|state.|Short-term|administration|of|large|doses|of|glucocorticoids|may|decrease|serum|T3|concentrations|by|30|%|with|minimal|change|in|serum|T4|levels.|However|,|long-term|glucocorticoid|therapy|may|result|in|slightly|decreased|T3|and|T4|levels|due|to|decreased|TBG|production|(|see|above|)|.'","'NN|IN|DT|NN|NNS|VBP|DT|JJ|NN|IN|NN|TO|NN|,|VBG|TO|VBN|NN|NN|RB|,|NN|NN|NNS|VBP|RB|JJ|CC|MD|RB|VB|RB|RB|IN|NNS|VBN|IN|JJ|NNS|IN|NN|(|SYM|CD|NN|)|,|NN|CC|NN|NNS|VBP|RB|,|NN|NNS|VBP|JJ|,|CC|NNS|VBP|RB|VBN|PRP|MD|VB|VBN|IN|NNS|IN|JJ|JJ|NNS|MD|VB|VBN|WRB|DT|JJ|NN|VBZ|VBN|TO|DT|JJ|NN|JJ|NN|IN|JJ|NNS|IN|NNS|MD|VB|NN|NN|NNS|IN|CD|NN|IN|JJ|NN|IN|NN|NN|NN|RB|,|JJ|NN|NN|MD|VB|IN|RB|VBN|NN|CC|NN|NNS|JJ|TO|VBN|NN|NN|(|VB|IN|)|.'"
"'Administration of these enzyme inhibitors decrease the peripheral conversion of T to T , Ieading to decreased T levels. However, serum T levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T and T levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T concentrations by 30% with minimal change in serum T levels. However, long-term glucocorticoid therapy may result in slightly decreased T and T levels due to decreased TBG production (see above).\4\3\3\4\3\4\3\4\3\4'","'Administration|of|these|enzyme|inhibitors|decrease|the|peripheral|conversion|of|T|to|T|,|Ieading|to|decreased|T|levels.|However|,|serum|T|levels|are|usually|normal|but|may|occasionally|be|slightly|increased.|In|patients|treated|with|large|doses|of|propranolol|(|>|160|mg/day|)|,|T|and|T|levels|change|slightly|,|TSH|levels|remain|normal|,|and|patients|are|clinically|euthyroid.|It|should|be|noted|that|actions|of|particular|beta-adrenergic|antagonists|may|be|impaired|when|the|hypothyroid|patient|is|converted|to|the|euthyroid|state.|Short-term|administration|of|large|doses|of|glucocorticoids|may|decrease|serum|T|concentrations|by|30|%|with|minimal|change|in|serum|T|levels.|However|,|long-term|glucocorticoid|therapy|may|result|in|slightly|decreased|T|and|T|levels|due|to|decreased|TBG|production|(|see|above|)|.\4\3\3\4\3\4\3\4\3\4'","'NN|IN|DT|NN|NNS|VBP|DT|JJ|NN|IN|NN|TO|NN|,|VBG|TO|VBN|NN|NN|RB|,|NN|NN|NNS|VBP|RB|JJ|CC|MD|RB|VB|RB|RB|IN|NNS|VBN|IN|JJ|NNS|IN|NN|(|SYM|CD|NN|)|,|NN|CC|NN|NNS|VBP|RB|,|NN|NNS|VBP|JJ|,|CC|NNS|VBP|RB|VBN|PRP|MD|VB|VBN|IN|NNS|IN|JJ|JJ|NNS|MD|VB|VBN|WRB|DT|JJ|NN|VBZ|VBN|TO|DT|JJ|NN|JJ|NN|IN|JJ|NNS|IN|NNS|MD|VB|NN|NN|NNS|IN|CD|NN|IN|JJ|NN|IN|NN|NN|NN|RB|,|JJ|NN|NN|MD|VB|IN|RB|VBN|NN|CC|NN|NNS|JJ|TO|VBN|NN|NN|(|VB|IN|)|.'"
"'Administration of these enzyme inhibitors decrease the peripheral conversion of T to T , leading to decreased T levels. However, serum T levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T and T levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T concentrations by 30% with minimal change in serum T levels. However, long-term glucocorticoid therapy may result in slightly decreased T and T levels due to decreased TBG production (see above).\4\3\3\4\3\4\3\4\3\4'","'Administration|of|these|enzyme|inhibitors|decrease|the|peripheral|conversion|of|T|to|T|,|leading|to|decreased|T|levels.|However|,|serum|T|levels|are|usually|normal|but|may|occasionally|be|slightly|increased.|In|patients|treated|with|large|doses|of|propranolol|(|>|160|mg/day|)|,|T|and|T|levels|change|slightly|,|TSH|levels|remain|normal|,|and|patients|are|clinically|euthyroid.|It|should|be|noted|that|actions|of|particular|beta-adrenergic|antagonists|may|be|impaired|when|the|hypothyroid|patient|is|converted|to|the|euthyroid|state.|Short-term|administration|of|large|doses|of|glucocorticoids|may|decrease|serum|T|concentrations|by|30|%|with|minimal|change|in|serum|T|levels.|However|,|long-term|glucocorticoid|therapy|may|result|in|slightly|decreased|T|and|T|levels|due|to|decreased|TBG|production|(|see|above|)|.\4\3\3\4\3\4\3\4\3\4'","'NN|IN|DT|NN|NNS|VBP|DT|JJ|NN|IN|NN|TO|NN|,|VBG|TO|VBN|NN|NN|RB|,|NN|NN|NNS|VBP|RB|JJ|CC|MD|RB|VB|RB|RB|IN|NNS|VBN|IN|JJ|NNS|IN|NN|(|SYM|CD|NN|)|,|NN|CC|NN|NNS|VBP|RB|,|NN|NNS|VBP|JJ|,|CC|NNS|VBP|RB|VBN|PRP|MD|VB|VBN|IN|NNS|IN|JJ|JJ|NNS|MD|VB|VBN|WRB|DT|JJ|NN|VBZ|VBN|TO|DT|JJ|NN|JJ|NN|IN|JJ|NNS|IN|NNS|MD|VB|NN|NN|NNS|IN|CD|NN|IN|JJ|NN|IN|NN|NN|NN|RB|,|JJ|NN|NN|MD|VB|IN|RB|VBN|NN|CC|NN|NNS|JJ|TO|VBN|NN|NN|(|VB|IN|)|.'"
"'Administration of these enzyme inhibitors decrease the peripheral conversion of T4 to T3, Ieading to decreased T3 levels. However, serum T4 levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T3 and T4 levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T3 concentrations by 30% with minimal change in serum T4 levels. However, long-term glucocorticoid therapy may result in slightly decreased T3 and T4 levels due to decreased TBG production (see above).'","'Administration|of|these|enzyme|inhibitors|decrease|the|peripheral|conversion|of|T4|to|T3|,|Ieading|to|decreased|T3|levels.|However|,|serum|T4|levels|are|usually|normal|but|may|occasionally|be|slightly|increased.|In|patients|treated|with|large|doses|of|propranolol|(|>|160|mg/day|)|,|T3|and|T4|levels|change|slightly|,|TSH|levels|remain|normal|,|and|patients|are|clinically|euthyroid.|It|should|be|noted|that|actions|of|particular|beta-adrenergic|antagonists|may|be|impaired|when|the|hypothyroid|patient|is|converted|to|the|euthyroid|state.|Short-term|administration|of|large|doses|of|glucocorticoids|may|decrease|serum|T3|concentrations|by|30|%|with|minimal|change|in|serum|T4|levels.|However|,|long-term|glucocorticoid|therapy|may|result|in|slightly|decreased|T3|and|T4|levels|due|to|decreased|TBG|production|(|see|above|)|.'","'NN|IN|DT|NN|NNS|VBP|DT|JJ|NN|IN|NN|TO|NN|,|VBG|TO|VBN|NN|NN|RB|,|NN|NN|NNS|VBP|RB|JJ|CC|MD|RB|VB|RB|RB|IN|NNS|VBN|IN|JJ|NNS|IN|NN|(|SYM|CD|NN|)|,|NN|CC|NN|NNS|VBP|RB|,|NN|NNS|VBP|JJ|,|CC|NNS|VBP|RB|VBN|PRP|MD|VB|VBN|IN|NNS|IN|JJ|JJ|NNS|MD|VB|VBN|WRB|DT|JJ|NN|VBZ|VBN|TO|DT|JJ|NN|JJ|NN|IN|JJ|NNS|IN|NNS|MD|VB|NN|NN|NNS|IN|CD|NN|IN|JJ|NN|IN|NN|NN|NN|RB|,|JJ|NN|NN|MD|VB|IN|RB|VBN|NN|CC|NN|NNS|JJ|TO|VBN|NN|NN|(|VB|IN|)|.'"
"'Administration of these enzyme inhibitors decrease the peripheral conversion of T4 to T3, leading to decreased T3 levels. However, serum T4 levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T3 and T4 levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T3 concentrations by 30% with minimal change in serum T4 levels. However, long-term glucocorticoid therapy may result in slightly decreased T3 and T4 levels due to decreased TBG production (see above).'","'Administration|of|these|enzyme|inhibitors|decrease|the|peripheral|conversion|of|T4|to|T3|,|leading|to|decreased|T3|levels.|However|,|serum|T4|levels|are|usually|normal|but|may|occasionally|be|slightly|increased.|In|patients|treated|with|large|doses|of|propranolol|(|>|160|mg/day|)|,|T3|and|T4|levels|change|slightly|,|TSH|levels|remain|normal|,|and|patients|are|clinically|euthyroid.|It|should|be|noted|that|actions|of|particular|beta-adrenergic|antagonists|may|be|impaired|when|the|hypothyroid|patient|is|converted|to|the|euthyroid|state.|Short-term|administration|of|large|doses|of|glucocorticoids|may|decrease|serum|T3|concentrations|by|30|%|with|minimal|change|in|serum|T4|levels.|However|,|long-term|glucocorticoid|therapy|may|result|in|slightly|decreased|T3|and|T4|levels|due|to|decreased|TBG|production|(|see|above|)|.'","'NN|IN|DT|NN|NNS|VBP|DT|JJ|NN|IN|NN|TO|NN|,|VBG|TO|VBN|NN|NN|RB|,|NN|NN|NNS|VBP|RB|JJ|CC|MD|RB|VB|RB|RB|IN|NNS|VBN|IN|JJ|NNS|IN|NN|(|SYM|CD|NN|)|,|NN|CC|NN|NNS|VBP|RB|,|NN|NNS|VBP|JJ|,|CC|NNS|VBP|RB|VBN|PRP|MD|VB|VBN|IN|NNS|IN|JJ|JJ|NNS|MD|VB|VBN|WRB|DT|JJ|NN|VBZ|VBN|TO|DT|JJ|NN|JJ|NN|IN|JJ|NNS|IN|NNS|MD|VB|NN|NN|NNS|IN|CD|NN|IN|JJ|NN|IN|NN|NN|NN|RB|,|JJ|NN|NN|MD|VB|IN|RB|VBN|NN|CC|NN|NNS|JJ|TO|VBN|NN|NN|(|VB|IN|)|.'"
"'Administration of these enzyme inhibitors decreases the peripheral conversion of T4 to T3, leading to decreased T3 levels.However, serum T4 levels are usually normal but may occasionally be slightly increased.In patients treated with large doses of propranolol (> 160 mg/day), T3 and T4levels change slightly, TSH levels remain normal, and patients are clinically euthyroid.It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state.Short-term administration of large doses of glucocorticoids may decrease serum T3 concentrations by 30% with minimal change in serum T4 levels.However, long-term glucocorticoid therapy may result in slightly decreased T3 and T4 levels due to decreased TBG production (see above).'","'Administration|of|these|enzyme|inhibitors|decreases|the|peripheral|conversion|of|T4|to|T3|,|leading|to|decreased|T3|levels.However|,|serum|T4|levels|are|usually|normal|but|may|occasionally|be|slightly|increased.In|patients|treated|with|large|doses|of|propranolol|(|>|160|mg/day|)|,|T3|and|T4levels|change|slightly|,|TSH|levels|remain|normal|,|and|patients|are|clinically|euthyroid.It|should|be|noted|that|actions|of|particular|beta-adrenergic|antagonists|may|be|impaired|when|the|hypothyroid|patient|is|converted|to|the|euthyroid|state.Short-term|administration|of|large|doses|of|glucocorticoids|may|decrease|serum|T3|concentrations|by|30|%|with|minimal|change|in|serum|T4|levels.However|,|long-term|glucocorticoid|therapy|may|result|in|slightly|decreased|T3|and|T4|levels|due|to|decreased|TBG|production|(|see|above|)|.'","'NN|IN|DT|NN|NNS|VBZ|DT|JJ|NN|IN|NN|TO|NN|,|VBG|TO|VBN|NN|NN|,|NN|NN|NNS|VBP|RB|JJ|CC|MD|RB|VB|RB|IN|NNS|VBN|IN|JJ|NNS|IN|NN|(|SYM|CD|NN|)|,|NN|CC|NNS|VBP|RB|,|NN|NNS|VBP|JJ|,|CC|NNS|VBP|RB|NN|MD|VB|VBN|IN|NNS|IN|JJ|JJ|NNS|MD|VB|VBN|WRB|DT|JJ|NN|VBZ|VBN|TO|DT|JJ|JJ|NN|IN|JJ|NNS|IN|NNS|MD|VB|NN|NN|NNS|IN|CD|NN|IN|JJ|NN|IN|NN|NN|NN|,|JJ|NN|NN|MD|VB|IN|RB|VBN|NN|CC|NN|NNS|JJ|TO|VBN|NN|NN|(|VB|IN|)|.'"
'AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide','AminoglutethimideAmiodaroneIodide|(|including|iodine-containing|Radiographic|contrast|agents|)|LithiumMethimazolePropylthioracil|(|PTU|)|SulfonamidesTolbutamide','NN|(|VBG|JJ|JJ|NN|NNS|)|NN|(|NN|)|NN'
